site_no,station_name,latitude,longitude,land_surface_elev_ft,well_depth_ft,hole_depth_ft,aquifer_code,county_code,land_surface_elev_m,well_depth_m
320000110555701,D-16-14 32BAA1,32.00008084,-110.9331455,2673.0,61.0,61.0,120VLCC,19,814.73,18.59
320001110584201,D-16-13 35AAA1,32.0003584,-110.9789804,2720.0,110.0,110.0,120VLCC,19,829.06,33.53
320002110584001,D-16-13 35AAA3,32.00063619,-110.9784248,2725.0,835.0,835.0,120VLCC,19,830.58,254.51
320002110584201,D-16-13 35AAA2,32.00063619,-110.9789804,2725.0,,,120VLCC,19,830.58,
320002110584301,D-16-13 35BAB,32.00063619,-110.9792582,2769.0,500.0,500.0,120VLCC,19,843.99,152.4
320002110585901,D-16-13 35BBB,32.0006361,-110.9945365,2793.0,500.0,500.0,120VLCC,19,851.31,152.4
320002110590501,D-16-13 35ABB,32.00063616,-110.9853695,2754.0,500.0,500.0,120VLCC,19,839.42,152.4
320004110572601,D-16-14 30CCD2,32.0011918,-110.9578686,2659.0,397.0,397.0,,19,810.46,121.01
320004111051301,D-16-12 26DCC,32.0011914,-111.0875952,3345.0,210.0,210.0,,19,1019.56,64.01
320005110573001,D-16-14 30CCD3,32.00146959,-110.9589797,2650.0,835.0,835.0,,19,807.72,254.51
320006110572001,D-16-14 30CDC,32.00174737,-110.9562019,2653.0,225.0,225.0,120VLCC,19,808.63,68.58
320006110572801,D-16-14 30CCD1,32.00174736,-110.9584242,2655.0,200.0,200.0,120VLCC,19,809.24,60.96
320006110573601,D-16-14 30CCC,32.00174736,-110.9606464,2659.0,210.0,210.0,120VLCC,19,810.46,64.01
320007110522801,D-16-14 25CCD,32.00202549,-110.8734213,2800.0,990.0,990.0,,19,853.44,301.75
320007110533301,D-16-14 26CCC,32.0020254,-110.8931442,2755.0,810.0,810.0,,19,839.72,246.89
320007110570601,D-16-14 30DCC,32.00202516,-110.9523128,2655.0,244.0,244.0,,19,809.24,74.37
320009110560701,D-16-14 29DCC,32.00258077,-110.9359234,2660.0,575.0,575.0,120VLCC,19,810.77,175.26
320010110514001,D-16-14 25DDD2,32.00285885,-110.8617543,2845.0,1000.0,1000.0,,19,867.16,304.8
320011111084801,D-16-12 29CCB,32.00313568,-111.1473194,3550.0,40.0,40.0,,19,1082.04,12.19
320014110564001,D-16-14 30DDA,32.0039696,-110.9450904,2655.0,,,,19,809.24,
320016110472901,D-16-15 34AAA,32.00452577,-110.7920297,3074.0,703.0,703.0,,19,936.96,214.27
320016110553301,D-16-14 28CCB,32.0045252,-110.9264786,2685.0,500.0,500.0,120VLCC,19,818.39,152.4
320017111075701,D-16-12 29DAC,32.00480235,-111.1331523,3465.0,,,,19,1056.13,
320017111114301,D-16-11 26CBD,32.0048022,-111.1959322,3550.0,,,,19,1082.04,
320020110483401,D-16-15 27CCC,32.0056368,-110.8067524,3013.0,830.0,830.0,,19,918.36,252.98
320022110462801,D-16-15 26DDD,32.00619247,-110.7750847,3145.0,1117.0,1117.0,,19,958.6,340.46
320028110591101,D-16-13 26CAA,32.00785823,-110.9870362,2739.0,739.0,739.0,120VLCC,19,834.85,225.25
320028110592701,D-15-13 26CCD,32.09035656,-110.9906477,2533.0,608.0,608.0,,19,772.06,185.32
320030110522001,D-16-14 25CBA,32.00841424,-110.8728657,2801.0,205.0,205.0,,19,853.74,62.48
320030110584001,D-16-13 26ADD,32.0084138,-110.9784248,2700.0,744.0,744.0,120VLCC,19,822.96,226.77
320031110560201,D-16-14 29ACC,32.00869176,-110.9345345,2670.0,,,,19,813.82,
320033110561901,D-16-14 29BDC,32.00924729,-110.9392569,2655.0,350.0,350.0,,19,809.24,106.68
320033110563401,D-16-14 29BCC,32.00924727,-110.9448126,2655.0,240.0,240.0,,19,809.24,73.15
320033110570601,D-16-14 30ACC,32.00924723,-110.9523129,2646.0,251.0,251.0,,19,806.5,76.5
320033110573801,D-16-14 30CBB,32.00841388,-110.961202,2648.0,267.0,267.0,,19,807.11,81.38
320035111004501,D-16-13 28ADD,32.00980255,-111.0131482,2854.0,440.0,482.0,120VLCC,19,869.9,134.11
320041110554201,D-16-14 29ADA,32.0114695,-110.9289787,2682.0,245.0,245.0,,19,817.47,74.68
320043110522901,D-16-14 25BBB,32.01591407,-110.8753658,2802.0,2500.0,2500.0,,19,854.05,762.0
320046110560801,D-16-14 29ABC,32.01285834,-110.9362012,2661.0,,,,19,811.07,
320053110513501,D-16-14 25AAA,32.0150808,-110.859532,2841.0,885.0,885.0,,19,865.94,269.75
320056110584001,D-16-13 26AAA,32.01563589,-110.9784249,2682.0,825.0,825.0,120VLCC,19,817.47,251.46
320059110582801,D-16-14 19CCD,32.01646929,-110.9575908,2638.0,260.0,260.0,,19,804.06,79.25
320100110562601,D-16-14 20CBC2,32.0167471,-110.9412014,2650.0,442.0,442.0,120VLCC,19,807.72,134.72
320100110571501,D-16-14 19CDD,32.01619154,-110.9523129,2638.0,200.0,200.0,,19,804.06,60.96
320101110550201,D-16-14 21DCD,32.017025,-110.9150894,2724.0,600.0,600.0,,19,830.28,182.88
320101110563201,D-16-14 20CCC,32.01702489,-110.942868,2645.0,447.0,447.0,,19,806.2,136.25
320105110573001,D-16-14 19CCA,32.0181359,-110.9589798,2636.0,,,,19,803.45,
320106110553401,D-16-14 21CCB,32.0184138,-110.9267565,2700.0,600.0,600.0,,19,822.96,182.88
320108110493201,D-16-15 29AAA,32.01896975,-110.8261975,2935.0,843.0,843.0,,19,894.59,256.95
320113110563401,D-16-14 20CBC1,32.02035815,-110.9434237,2646.0,54.0,54.0,120VLCC,19,806.5,16.46
320113110573701,D-16-14 19CBC,32.0203581,-110.9575908,2637.0,252.0,252.0,120VLCC,19,803.76,76.81
320114111004301,D-16-13 21DAD,32.02063567,-111.0125927,2809.8,336.0,336.0,112BSFL,19,856.43,102.41
320124110550601,D-16-14 21DBB,32.02341374,-110.9189784,2688.0,650.0,650.0,,19,819.3,198.12
320125110570001,D-16-14 19ACD,32.02369139,-110.9506462,2632.0,375.0,375.0,,19,802.23,114.3
320125110572701,D-16-14 19BCD,32.02369136,-110.9581464,2632.0,186.0,186.0,120VLCC,19,802.23,56.69
320128110564101,D-16-14 19ADD,32.0245247,-110.9453682,2635.0,401.0,401.0,120VLCC,19,803.15,122.22
320132110573501,D-16-14 19BCB,32.02563575,-110.9609243,2634.0,328.0,328.0,,19,802.84,99.97
320133111035201,D-16-12 24ADA,32.02591324,-111.0650945,3040.0,300.0,300.0,,19,926.59,91.44
320135110560701,D-16-14 20ACB,32.02646916,-110.9359235,2680.0,580.0,580.0,,19,816.86,176.78
320136110554001,D-16-14 20ADA,32.02674696,-110.9284232,2700.0,650.0,650.0,,19,822.96,198.12
320137110482301,D-16-15 22CBB,32.0270252,-110.8070302,2992.0,,,120VLCC,19,911.96,
320143110563601,D-16-14 20BBB,32.0286913,-110.9439793,2635.0,403.0,403.0,,19,803.15,122.83
320143110564501,D-16-14 19AA,32.0286913,-110.9464794,2640.0,50.0,50.0,120VLCC,19,804.67,15.24
320146110572801,D-16-14 19BBA2,32.02952457,-110.9584242,2625.0,671.0,671.0,120VLCC,19,800.1,204.52
320147110572801,D-16-14 19BBA1,32.02980234,-110.9584242,2625.0,251.0,251.0,,19,800.1,76.5
320155110564101,D-16-14 18DDD,32.03202457,-110.9453682,2645.0,,,120VLCC,19,806.2,
320159110482401,D-16-15 22BBB,32.03313617,-110.807308,2990.0,892.0,892.0,,19,911.35,271.88
320203110554001,D-16-14 17DAD,32.0342468,-110.9284232,2684.0,466.0,503.0,,19,818.08,142.04
320205110462001,D-16-15 13CCC,32.0348029,-110.7728624,3085.0,1020.0,1020.0,,19,940.31,310.9
320214111103601,D-16-11 13BDC,32.0373017,-111.1773206,3200.0,540.0,540.0,,19,975.36,164.59
320218110563701,D-16-14 17BCC,32.0384133,-110.944257,2642.0,360.0,360.0,,19,805.28,109.73
320218110565501,D-16-14 18ACD,32.0384133,-110.9492573,2625.0,200.0,200.0,120VLCC,19,800.1,60.96
320218110571801,D-16-14 18BDC,32.03841329,-110.9556464,2617.0,225.0,225.0,,19,797.66,68.58
320232110572001,D-16-14 18BAC,32.04230209,-110.956202,2608.0,185.0,185.0,120VLCC,19,794.92,56.39
320232110572501,D-16-14 18BBD,32.04230209,-110.9575909,2616.0,215.0,215.0,120VLCC,19,797.36,65.53
