site_no,station_name,date,latitude,longitude,pH,Ca,Mg,Na,K,Cl,SO4,HCO3
320035111004501,D-16-13 28ADD,1974-01-29,32.0098025533223,-111.013148235657,7.5,120.0,57.0,83.0,5.1,38.0,490.0,162.0
320035111004501,D-16-13 28ADD,1974-03-02,32.0098025533223,-111.013148235657,7.9,120.0,57.0,82.0,5.0,37.0,510.0,160.0
320035111004501,D-16-13 28ADD,1974-10-16,32.0098025533223,-111.013148235657,6.933333333333334,173.33333333333334,67.33333333333333,131.0,6.333333333333333,36.0,800.0,117.66666666666667
320101110550201,D-16-14 21DCD,1981-08-13,32.0170249988869,-110.91508939624,7.8,25.0,2.3,41.0,2.3,6.0,48.0,122.0
320238110465201,D-16-15 14ACB,1991-03-05,32.0439693477336,-110.782307124835,7.4,120.0,25.0,59.0,2.8,20.0,320.0,229.0
320238110465201,D-16-15 14ACB,1992-03-03,32.0439693477336,-110.782307124835,7.8,110.0,23.0,57.0,2.8,21.0,300.0,243.0
320520110573501,D-15-14 31BBB,1981-08-14,32.0895233316006,-110.959813311521,7.3,67.0,12.4,37.0,2.3,15.2,92.0,208.0
320922110514401,D-15-14 01DBA,1971-09-28,32.1561888246471,-110.862865519957,7.6,37.0,6.2,26.0,1.1,4.6,41.0,170.0
321031110451301,D-14-16 31BBC2,1964-03-31,32.1736886342278,-110.755361596491,7.7,29.0,7.7,36.0,1.9,14.0,20.0,168.0
321103110544401,D-14-14 28DAB,1966-09-12,32.1842436835309,-110.912867382098,7.8,46.0,9.0,41.0,2.3,16.0,80.0,166.0
321129110553701,D-14-14 29AAA,1966-09-12,32.1914657297919,-110.927590160571,7.8,48.0,8.0,55.0,2.5,20.0,120.0,151.0
321134110515901,D-14-14 24CDD,1966-09-13,32.1928546821174,-110.867032368464,7.9,30.0,4.0,25.0,1.2,8.0,14.0,137.0
321146110543501,D-14-14 21CAA,1966-09-12,32.1961878783733,-110.910367309705,7.8,47.0,7.0,48.0,2.4,14.0,94.0,151.0
321150110541301,D-14-14 22CAC,1966-09-12,32.1972989748547,-110.904255973931,7.9,54.0,10.0,41.0,2.2,18.0,100.0,166.0
321156110520301,D-14-14 24CAA1,1966-09-13,32.1989656601763,-110.866754585486,7.8,25.0,4.0,30.0,1.1,8.0,12.0,137.0
321207110555401,D-14-14 20ACA,1966-09-03,32.2020210570026,-110.932312578992,7.7,52.0,9.0,45.0,3.6,16.0,104.0,166.0
321207110591201,D-14-13 23BAD,1981-01-08,32.202020979824,-110.987314622263,,101.0,46.0,80.0,2.8,37.0,257.0,322.0
321214110514601,D-14-14 24ABD,1966-09-13,32.2039655555561,-110.863421132346,7.7,26.0,2.0,27.0,1.0,8.0,6.0,132.0
321221110522201,D-14-14 23AAB,1966-09-12,32.2059099439438,-110.873421506069,7.9,26.0,5.0,28.0,1.0,12.0,14.0,137.0
321223110515801,D-14-14 24BAA,1966-09-12,32.2061877254005,-110.866199015241,7.9,24.0,4.0,27.0,1.0,8.0,8.0,132.0
321239110560701,D-14-14 17CAD,1966-09-03,32.2109097551329,-110.93592384313,7.6,52.0,7.0,47.0,13.0,14.0,105.0,171.0
321248110530401,D-14-14 14CAA,1966-09-12,32.2134097662753,-110.885088615801,,24.0,4.0,28.0,1.1,10.0,12.0,137.0
321252110555001,D-14-14 17ACC1,1966-09-03,32.2145207966214,-110.931201452038,,40.0,6.0,42.0,2.7,16.0,79.0,166.0
321301110564701,D-14-14 18ADB1,1966-09-07,32.2170207252822,-110.947035383114,7.8,46.0,3.0,42.0,2.0,20.0,40.0,152.0
321308110543601,D-14-14 16AAD,1966-09-03,32.2189651719848,-110.910645135367,8.0,49.0,8.0,36.0,2.5,24.0,42.0,183.0
321314110532601,D-14-14 11CCB1,1966-09-12,32.2250761744269,-110.891199970257,,26.0,6.0,20.0,1.1,10.0,8.0,134.0
321329110563701,D-14-14 07DDA1,1966-09-12,32.2247983447964,-110.944257519087,7.8,40.0,4.0,40.0,2.2,14.0,58.0,156.0
321406110563901,D-14-14 07AAA,1966-09-03,32.2350759085197,-110.944813119048,,39.0,4.0,41.0,3.8,16.0,40.0,163.0
321407110560801,D-14-14 08BAA,1966-09-03,32.2353536886638,-110.936201683299,,42.0,7.0,36.0,2.3,20.0,44.0,161.0
321407110561801,D-14-14 08BAB,1966-09-03,32.2353536860395,-110.938979566004,7.9,44.0,5.0,42.0,2.4,20.0,60.0,159.0
321419110513201,D-14-14 01DDA2,1966-09-12,32.2386870212891,-110.859532122967,7.2,16.0,5.0,45.0,1.1,14.0,14.0,151.0
321424110554801,D-14-14 05DAC1,1966-09-07,32.2411869049621,-110.9306459297,,34.0,7.0,31.0,1.8,24.0,17.0,139.0
321457110532701,D-14-14 02BBB,1991-03-05,32.249242321169,-110.891477789701,7.1,34.0,4.0,41.0,1.5,9.6,25.0,187.0
321457110532701,D-14-14 02BBB,1992-03-02,32.249242321169,-110.891477789701,7.4,33.0,3.8,40.0,1.4,11.0,27.0,183.0
321745111012801,D-13-13 16CCD,1982-03-26,32.2959081945304,-111.025096130915,,137.0,13.7,65.0,3.8,143.0,173.0,172.0
322009111040801,D-13-12 01ABA,1981-12-16,32.3375741035629,-111.069543595376,,88.0,8.0,150.0,3.4,85.7,154.0,355.0
322142111053701,D-12-12 26BCA,1982-02-08,32.3625735773744,-111.093156185299,,48.0,7.8,31.0,1.9,19.8,54.0,151.0
322252111065001,D-12-12 16DDD,1992-03-30,32.3811842480002,-111.11454612151,7.2,56.0,8.6,33.0,2.3,35.0,57.0,171.0
322528110563301,D-11-14 32CCC1,1991-03-04,32.4245180459971,-110.943989026092,7.5,28.0,6.4,18.0,1.5,6.1,20.0,127.0
322528110563301,D-11-14 32CCC1,1992-03-02,32.4245180459971,-110.943989026092,7.7,29.0,6.4,18.0,1.4,7.4,17.0,133.0
322530111110001,D-11-11 35DDD,1991-03-13,32.4250718475453,-111.183992743375,7.3,110.0,16.0,61.0,2.7,81.0,120.0,248.0
322530111110001,D-11-11 35DDD,1992-03-30,32.4250718475453,-111.183992743375,7.3,110.0,16.0,57.0,2.8,84.0,130.0,248.0
