site_no,pre_years,post_years,pre_measurements,post_measurements,pre_median_depth_ft,post_median_depth_ft,change_depth_ft
320540110573401,5,4,54,38,117.805,102.185,-15.620
320845110551201,5,4,54,36,147.800,151.050,3.250
321058110563301,5,4,37,34,220.000,227.340,7.340
321142110530301,5,4,50,39,316.625,332.400,15.775
321208110525001,5,4,53,40,308.600,321.980,13.380
321517110571802,5,4,52,38,231.935,250.530,18.595
321558110530501,5,5,17,8,53.100,91.950,38.850
321558110531901,5,3,20,6,86.650,118.480,31.830
321635110572602,4,5,19,15,166.100,190.280,24.180
321647110532201,5,5,30,24,70.065,74.225,4.160
321735110573301,3,5,15,14,111.600,136.350,24.750
AZ014-320845110583801,4,3,5,4,114.330,109.850,-4.480
AZ014-321558110523901,5,5,20,9,33.700,34.700,1.000
AZ014-321604110525601,5,5,26,20,59.730,67.845,8.115
AZ014-321605110525501,4,4,9,4,33.300,56.350,23.050
AZ014-321612110523701,5,4,16,5,19.860,27.250,7.390
AZ014-321614110533001,5,5,26,8,49.145,66.090,16.945
AZ014-321615110532901,5,4,16,5,50.290,56.300,6.010
